year,marathon,country,finishers,mean_time
2011,"Ellerbe Springs
  Marathon",US,101,276.12
2012,"Ellerbe Springs
  Marathon",US,86,279.65
2013,"Ellerbe Springs
  Marathon",US,73,281.31
2011,Emerald Bay Marathon,US,95,320.81
2012,Emerald Bay Marathon,US,100,316.43
2013,Emerald Bay Marathon,US,105,319.4
2011,Empire State Marathon,US,707,259.71
2012,Empire State Marathon,US,542,261.42
2013,Empire State Marathon,US,522,262.07
2009,"End Of The Decade
  Marathon",US,14,251.2
2012,"End of the World
  Marathon",US,327,358.33
2011,"Endurancelife Coastal
  Trail Series - Anglesey Marathon",US,100,311.63
2012,"Endurancelife Coastal
  Trail Series - Anglesey Marathon",US,82,310.15
2010,"Endurancelife Coastal
  Trail Series - Cornwall Marathon",US,117,336.02
2010,"Endurancelife Coastal
  Trail Series - Exmoor Marathon",US,186,356.69
2011,"Endurancelife Coastal
  Trail Series - Exmoor Marathon",US,117,349.15
2012,"Endurancelife Coastal
  Trail Series - Exmoor Marathon",US,122,325.45
2013,"Endurancelife Coastal
  Trail Series - Exmoor Marathon",US,134,347.78
2010,"Endurancelife Coastal
  Trail Series - Gower Marathon",US,99,346.85
2010,"Endurancelife Coastal
  Trail Series - Isle of Wight Marathon",US,34,289.74
2010,"Endurancelife Coastal
  Trail Series - Pembrokeshire Marathon",US,115,300.82
2011,"Endurancelife Coastal
  Trail Series - Pembrokeshire Marathon",US,86,310.49
2010,"Endurancelife Coastal
  Trail Series - Portland Marathon",US,57,305.1
2010,"Endurancelife Coastal
  Trail Series - South Devon Marathon",US,170,341.88
2011,"Endurancelife Coastal
  Trail Series - South Devon Marathon",US,112,340.67
2012,"Endurancelife Coastal
  Trail Series - South Devon Marathon",US,114,316.06
2013,"Endurancelife Coastal
  Trail Series - South Devon Marathon",US,110,370.9
2011,"Endurancelife Coastal
  Trail Series - Sussex Marathon",US,118,314.23
2012,"Endurancelife Coastal
  Trail Series - Sussex Marathon",US,120,304.89
2013,"Endurancelife Coastal
  Trail Series - Sussex Marathon",US,152,318.75
2010,"Endurancelife Coastal
  Trail Series Marathon - Dorset",US,72,318.73
2000,Equinox Marathon,US,334,370.5
2001,Equinox Marathon,US,435,335.96
2002,Equinox Marathon,US,382,305.35
2003,Equinox Marathon,US,412,338.51
2004,Equinox Marathon,US,334,331.02
2005,Equinox Marathon,US,330,325.28
2006,Equinox Marathon,US,318,302.9
2007,Equinox Marathon,US,474,335.13
2008,Equinox Marathon,US,444,333.1
2009,Equinox Marathon,US,420,333.17
2010,Equinox Marathon,US,434,331.96
2011,Equinox Marathon,US,408,325.16
2012,Equinox Marathon,US,647,339.5
2013,Equinox Marathon,US,449,332.86
2001,"Erie Marathon at
  Presque Isle",US,210,263.37
2002,"Erie Marathon at
  Presque Isle",US,200,252.1
2003,"Erie Marathon at
  Presque Isle",US,319,256.11
2004,"Erie Marathon at
  Presque Isle",US,334,252.03
2005,"Erie Marathon at
  Presque Isle",US,328,273.66
2006,"Erie Marathon at
  Presque Isle",US,398,246.74
2007,"Erie Marathon at
  Presque Isle",US,457,258.12
2008,"Erie Marathon at
  Presque Isle",US,393,266.11
2009,"Erie Marathon at
  Presque Isle",US,480,262.03
2010,"Erie Marathon at
  Presque Isle",US,468,253.56
2011,"Erie Marathon at
  Presque Isle",US,520,247.16
2012,"Erie Marathon at
  Presque Isle",US,674,249.45
2013,"Erie Marathon at
  Presque Isle",US,978,237.01
2000,Eriesistible Marathon,US,185,257.74
2012,"Escalante Canyons
  Marathon",US,22,286.06
2013,"Escalante Canyons
  Marathon",US,42,300.89
2004,Estes Park Marathon,US,145,291.13
2005,Estes Park Marathon,US,152,304.73
2006,Estes Park Marathon,US,147,305.99
2007,Estes Park Marathon,US,120,297.93
2008,Estes Park Marathon,US,148,293.22
2009,Estes Park Marathon,US,104,291.29
2010,Estes Park Marathon,US,106,287.89
2011,Estes Park Marathon,US,112,264.34
2012,Estes Park Marathon,US,150,301.65
2013,Estes Park Marathon,US,128,298.71
2013,"Eugene Curnow Trail
  Marathon",US,146,384.89
2007,Eugene Marathon,US,1486,260.09
2008,Eugene Marathon,US,1742,257.75
2009,Eugene Marathon,US,1716,255.67
2010,Eugene Marathon,US,2340,250.59
2011,Eugene Marathon,US,2297,249.33
2012,Eugene Marathon,US,2345,250.49
2013,Eugene Marathon,US,2571,247.5
2007,"Extraterrestrial Full
  Moon Midnight Marathon",US,59,330.07
2008,"Extraterrestrial Full
  Moon Midnight Marathon",US,125,317.9
2009,"Extraterrestrial Full
  Moon Midnight Marathon",US,161,318.96
2010,"Extraterrestrial Full
  Moon Midnight Marathon",US,172,318.91
2011,"Extraterrestrial Full
  Moon Midnight Marathon",US,168,314.45
2012,"Extraterrestrial Full
  Moon Midnight Marathon",US,179,324.87
2013,"Extraterrestrial Full
  Moon Midnight Marathon",US,141,331.18
2010,Fairlands Valley,Germany,280,319.49
2006,"Fairlands Valley
  Challenge",Germany,188,355.51
2007,"Fairlands Valley
  Challenge",Germany,223,334.7
2008,"Fairlands Valley
  Challenge",Germany,244,332.23
2009,"Fairlands Valley
  Challenge",Germany,261,325.76
2011,"Fairlands Valley
  Challenge",Germany,205,328.69
2012,"Fairlands Valley
  Challenge",Germany,192,348.62
2013,"Fairlands Valley
  Challenge",Germany,154,337.51
2010,Fallen 4 Marathon,Canada,38,256.42
2011,Fallen 4 Marathon,Canada,40,250.53
2013,Fallen 4 Marathon,Canada,42,266.34
2007,"Fallsburg Marathon
  and Half Marathon",US,26,290.2
2008,"Fallsburg Marathon
  and Half Marathon",US,78,289.87
2009,"Fallsburg Marathon
  and Half Marathon",US,103,298.48
2010,"Fallsburg Marathon
  and Half Marathon",US,80,346.3
2011,"Fallsburg Marathon
  and Half Marathon",US,69,349.34
2012,"Fallsburg Marathon
  and Half Marathon",US,75,376.2
2013,"Fallsburg Marathon
  and Half Marathon",US,60,366.29
2012,"Famous Idaho Potato
  Marathon",US,237,269.2
2013,"Famous Idaho Potato
  Marathon",US,219,256.91
2005,Fargo Marathon,US,707,263.99
2006,Fargo Marathon,US,982,254.56
2007,Fargo Marathon,US,1196,255.89
2008,Fargo Marathon,US,1196,255.89
2009,Fargo Marathon,US,1272,256.28
2010,Fargo Marathon,US,1885,259.97
2011,Fargo Marathon,US,2213,265.13
2012,Fargo Marathon,US,1825,256.77
2013,Fargo Marathon,US,1644,269.34
2010,"Farnham Pilgrims'
  Marathon",England,253,282.32
2011,"Farnham Pilgrims'
  Marathon",England,303,278.08
2012,"Farnham Pilgrims'
  Marathon",England,291,276.65
2013,"Farnham Pilgrims'
  Marathon",England,292,277.22
2010,Fat Ass Marathon,US,7,336.29
2011,Fat Ass Marathon,US,9,343.22
2012,Fat Ass Marathon,US,4,343.17
2013,Fat Ass Marathon,US,7,344.85
2006,"Fiesta du Albuquerque
  Marathon",US,107,257.04
2001,Fila Sky Marathon,US,54,219.99
2011,First Call Marathon,US,17,273.59
2012,First Call Marathon,US,34,314.55
2013,First Call Marathon,US,35,267.56
2012,"First Call Presidents
  Day Marathon",US,28,301.86
2013,"First Call Presidents
  Day Marathon",US,25,284.24
2013,"First Call Spring
  Marathon",US,27,333.04
2013,"First Call Summer
  Marathon",US,33,297.85
2001,First Light Marathon,US,669,280.39
2002,First Light Marathon,US,353,276.23
2003,First Light Marathon,US,299,261.35
2005,First Light Marathon,US,206,272.35
2006,First Light Marathon,US,231,272.54
2007,First Light Marathon,US,338,277.47
2008,First Light Marathon,US,311,267.38
2009,First Light Marathon,US,371,265.84
2010,First Light Marathon,US,437,272.55
2011,First Light Marathon,US,471,278.72
2012,First Light Marathon,US,459,285.57
2013,First Light Marathon,US,333,288.9
2010,"Fitness Fiesta
  Marathon",US,115,273.19
2011,"Fitness Fiesta
  Marathon",US,89,272.38
2012,"Fitness Fiesta
  Marathon",US,148,306.04
2013,"Fitness Fiesta
  Marathon",US,43,289.19
2001,"Fitzroy Falls Fire
  Trail Marathon",Australia,88,263.95
2002,"Fitzroy Falls Fire
  Trail Marathon",Australia,65,268.62
2003,"Fitzroy Falls Fire
  Trail Marathon",Australia,53,265.92
2004,"Fitzroy Falls Fire
  Trail Marathon",Australia,72,265.68
2006,"Five Points of Life
  Marathon",US,217,261.01
2007,"Five Points of Life
  Marathon",US,161,253.92
2008,"Five Points of Life
  Marathon",US,183,263.03
2009,"Five Points of Life
  Marathon",US,162,258.1
2010,"Five Points of Life
  Marathon",US,147,254.36
2011,"Five Points of Life
  Marathon",US,330,254.41
2012,"Five Points of Life
  Marathon",US,168,272.73
2013,"Five Points of Life
  Marathon",US,126,261.43
2006,Flagstaff Marathon,US,21,272.88
2007,Flagstaff Marathon,US,45,286.05
2008,Flagstaff Marathon,US,45,297
2009,Flagstaff Marathon,US,34,291.44
2010,Flagstaff Marathon,US,64,285.95
2011,Flagstaff Marathon,US,45,315.52
2012,Flagstaff Marathon,US,62,306.06
2013,Flagstaff Marathon,US,58,292.89
2010,Flatlanders Marathon,US,32,318.02
2000,"Florida Gulf Beaches
  Marathon",US,391,249.31
2001,"Florida Gulf Beaches
  Marathon",US,824,260.26
2002,"Florida Gulf Beaches
  Marathon",US,760,260.75
2003,"Florida Gulf Beaches
  Marathon",US,749,280.1
2004,"Florida Gulf Beaches
  Marathon",US,548,277.96
2005,"Florida Gulf Beaches
  Marathon",US,338,259.9
2008,"Florida Marathon,
  Half Marathon & 5K",US,70,269.27
2009,"Florida Marathon,
  Half Marathon & 5K",US,94,270.1
2010,"Florida Sheriff's
  Youth Ranch Marathon",US,6,255.52
2011,"Florida Sheriff's
  Youth Ranch Marathon",US,28,288.78
2012,"Florida Sheriff's
  Youth Ranch Marathon",US,36,281.01
2013,"Florida Sheriff's
  Youth Ranch Marathon",US,46,290.17
2004,"Foot Traffic Flat
  Marathon",US,56,223.14
2005,"Foot Traffic Flat
  Marathon",US,116,238.72
2006,"Foot Traffic Flat
  Marathon",US,72,235.84
2007,"Foot Traffic Flat
  Marathon",US,137,250.58
2008,"Foot Traffic Flat
  Marathon",US,151,255.1
2009,"Foot Traffic Flat
  Marathon",US,258,244.82
2010,"Foot Traffic Flat
  Marathon",US,395,254.95
2011,"Foot Traffic Flat
  Marathon",US,412,259.15
2012,"Foot Traffic Flat
  Marathon",US,397,260.04
2013,"Foot Traffic Flat
  Marathon",US,439,260.2
2005,"Footstock Race
  Weekend",Canada,130,263.99
2006,"Footstock Race
  Weekend",Canada,33,253.61
2007,"Footstock Race
  Weekend",Canada,36,252.39
2008,"Footstock Race
  Weekend",Canada,46,252.21
2001,"Forest City Road
  Races Marathon",Canada,363,234.8
2002,"Forest City Road
  Races Marathon",Canada,335,241.44
2003,"Forest City Road
  Races Marathon",Canada,342,243.32
2004,"Forest City Road
  Races Marathon",Canada,305,241.68
2005,"Forest City Road
  Races Marathon",Canada,252,243.01
2006,"Forest City Road
  Races Marathon",Canada,191,238.82
2007,"Forest City Road
  Races Marathon",Canada,226,239.47
2008,"Forest City Road
  Races Marathon",Canada,201,251
2009,"Forest City Road
  Races Marathon",Canada,194,240.43
2012,Forest Park Marathon,US,47,289.61
2013,Forest Park Marathon,US,55,292.14
2000,"Forest of Nisene
  Marks Marathon",US,50,258.85
2001,"Forest of Nisene
  Marks Marathon",US,53,247.08
2002,"Forest of Nisene
  Marks Marathon",US,63,255.66
2003,"Forest of Nisene
  Marks Marathon",US,67,263.65
2004,"Forest of Nisene
  Marks Marathon",US,62,268.36
2005,"Forest of Nisene
  Marks Marathon",US,51,256.09
2006,"Forest of Nisene
  Marks Marathon",US,68,282.03
2007,"Forest of Nisene
  Marks Marathon",US,63,261.74
2008,"Forest of Nisene
  Marks Marathon",US,69,271.72
2009,"Forest of Nisene
  Marks Marathon",US,69,268.56
2010,"Forest of Nisene
  Marks Marathon",US,69,276.01
2011,"Forest of Nisene
  Marks Marathon",US,47,294.51
2012,"Forest of Nisene
  Marks Marathon",US,55,273.29
2013,"Forest of Nisene
  Marks Marathon",US,62,316.73
2008,Fort Worth Marathon,US,37,259.67
2009,Fort Worth Marathon,US,121,254.46
2010,Fort Worth Marathon,US,223,270.61
2011,Fort Worth Marathon,US,216,289.37
2012,Fort Worth Marathon,US,320,284.68
2013,Fort Worth Marathon,US,282,284.29
2000,Fox Cities Marathon,US,689,275.29
2001,Fox Cities Marathon,US,674,268.89
2002,Fox Cities Marathon,US,631,271.41
2003,Fox Cities Marathon,US,683,260.46
2004,Fox Cities Marathon,US,686,270.3
2005,Fox Cities Marathon,US,562,263.11
2006,Fox Cities Marathon,US,729,269.81
2007,Fox Cities Marathon,US,857,275.26
2008,Fox Cities Marathon,US,1039,262.77
2009,Fox Cities Marathon,US,1031,266.56
2010,Fox Cities Marathon,US,901,258.98
2011,Fox Cities Marathon,US,839,270.57
2012,Fox Cities Marathon,US,915,265.08
2013,Fox Cities Marathon,US,978,264.39
2010,Fox Valley Marathon,US,478,259.6
2011,Fox Valley Marathon,US,855,254.72
2012,Fox Valley Marathon,US,1062,263.98
2013,Fox Valley Marathon,US,1318,262.08
2000,Frank Maier Marathon,US,23,263.93
2001,Frank Maier Marathon,US,20,286.73
2002,Frank Maier Marathon,US,28,265.83
2003,Frank Maier Marathon,US,35,256.89
2004,Frank Maier Marathon,US,33,266.33
2005,Frank Maier Marathon,US,53,260.71
2006,Frank Maier Marathon,US,43,266.04
2007,Frank Maier Marathon,US,31,260.92
2008,Frank Maier Marathon,US,48,255.3
2009,Frank Maier Marathon,US,41,263.21
2010,Frank Maier Marathon,US,64,262.38
2011,Frank Maier Marathon,US,52,268.8
2012,Frank Maier Marathon,US,72,269.79
2013,Frank Maier Marathon,US,72,271.78
2008,Frankenstein Marathon,US,31,313.69
2009,Frankenstein Marathon,US,34,332.15
2009,"Frankenthon Monster
  Marathon",US,99,263.55
2010,"Frankenthon Monster
  Marathon",US,144,265.02
2011,"Frankenthon Monster
  Marathon",US,133,279.83
2012,"Frankenthon Monster
  Marathon",US,131,280.1
2013,"Frankenthon Monster
  Marathon",US,86,276.1
2002,Frankfurt Marathon,Germany,7247,241.73
2003,Frankfurt Marathon,Germany,7098,238.35
2004,Frankfurt Marathon,Germany,8282,239.05
2005,Frankfurt Marathon,Germany,8842,239.81
2006,Frankfurt Marathon,Germany,8907,243.59
2007,Frankfurt Marathon,Germany,9170,237.16
2008,Frankfurt Marathon,Germany,9470,235.49
2009,Frankfurt Marathon,Germany,9500,240.19
2010,Frankfurt Marathon,Germany,8553,238.7
2011,Frankfurt Marathon,Germany,12424,236.86
2012,Frankfurt Marathon,Germany,11948,234.64
2013,Frankfurt Marathon,Germany,11009,237.27
2000,Fred's Marathon,US,29,231.01
2001,Fred's Marathon,US,28,261.85
2002,Fred's Marathon,US,22,234.28
2003,Frederick Marathon,US,447,264.9
2004,Frederick Marathon,US,419,260.85
2005,Frederick Marathon,US,521,251.18
2006,Frederick Marathon,US,666,255.89
2007,Frederick Marathon,US,721,250.63
2008,Frederick Marathon,US,897,262.27
2009,Frederick Marathon,US,674,259.12
2010,Frederick Marathon,US,729,279.18
2001,Fredericton Marathon,Canada,51,242.75
2002,Fredericton Marathon,Canada,93,235.91
2003,Fredericton Marathon,Canada,67,241.97
2004,Fredericton Marathon,Canada,84,249.36
2005,Fredericton Marathon,Canada,78,245.55
2006,Fredericton Marathon,Canada,87,245.58
2007,Fredericton Marathon,Canada,88,243.44
2008,Fredericton Marathon,Canada,123,244.24
2009,Fredericton Marathon,Canada,132,239.43
2010,Fredericton Marathon,Canada,171,231.4
2011,Fredericton Marathon,Canada,169,246.5
2012,Fredericton Marathon,Canada,156,227.86
2013,Fredericton Marathon,Canada,158,226.13
2008,"Free State Trail
  Marathon",US,76,320.48
2009,"Free State Trail
  Marathon",US,71,302.73
2010,"Free State Trail
  Marathon",US,98,356.02
2011,"Free State Trail
  Marathon",US,89,294.45
2012,"Free State Trail
  Marathon",US,114,306.89
2013,"Free State Trail
  Marathon",US,80,313.53
2011,Freedom Marathon,US,55,302.51
2013,Freedom Marathon,US,50,294.07
2009,Freedom's Run,US,253,266.63
2010,Freedom's Run,US,564,273.23
2011,Freedom's Run,US,447,275.55
2012,Freedom's Run,US,334,259.68
2013,Freedom's Run,US,358,272.46
2001,"Friendly Massey
  Marathon",Canada,72,248.7
2002,"Friendly Massey
  Marathon",Canada,74,250.36
2003,"Friendly Massey
  Marathon",Canada,65,241.41
2004,"Friendly Massey
  Marathon",Canada,54,238.06
2005,"Friendly Massey
  Marathon",Canada,61,257.29
2006,"Friendly Massey
  Marathon",Canada,63,249.57
2007,"Friendly Massey
  Marathon",Canada,72,240.15
2008,"Friendly Massey
  Marathon",Canada,63,240.51
2009,"Friendly Massey
  Marathon",Canada,51,253.93
2010,"Friendly Massey
  Marathon",Canada,52,248.94
2011,"Friendly Massey
  Marathon",Canada,53,252.81
2012,"Friendly Massey
  Marathon",Canada,40,267.97
2013,"Friendly Massey
  Marathon",Canada,53,245.76
2010,"Friends of the
  Falling Waters Trail - Wild Life Marathon",US,51,271.74
2011,"Friends of the
  Falling Waters Trail - Wild Life Marathon",US,89,265.07
2012,"Friends of the
  Falling Waters Trail - Wild Life Marathon",US,91,276.33
2013,"Friends of the
  Falling Waters Trail - Wild Life Marathon",US,123,256.85
2005,"Frisco High Line
  Marathon",US,14,257.09
2006,"Frisco High Line
  Marathon",US,21,247.64
2009,"Frisco Marathon &
  Races",US,27,299.49
2010,"Frisco Marathon &
  Races",US,43,273.26
2011,"Frisco Marathon &
  Races",US,72,271.3
2012,"Frisco Marathon &
  Races",US,104,280.1
2013,"Frisco Marathon &
  Races",US,60,270.78
2006,"Ft. Lauderdale A1A
  Marathon",US,329,265.33
2007,"Ft. Lauderdale A1A
  Marathon",US,335,266.36
2009,"Ft. Lauderdale A1A
  Marathon",US,455,271.11
2010,"Ft. Lauderdale A1A
  Marathon",US,515,261.67
2011,"Ft. Lauderdale A1A
  Marathon",US,611,266.04
2012,"Ft. Lauderdale A1A
  Marathon",US,632,278.43
2013,"Ft. Lauderdale A1A
  Marathon",US,679,261.61
2008,"Ft. Lauderdale A1A
  Marathon (FL - 2/17/0",US,505,273.12
2011,"Galveston Mardi Gras
  Marathon",US,148,271.59
2012,"Galveston Mardi Gras
  Marathon",US,157,268.49
2013,"Galveston Mardi Gras
  Marathon",US,155,270.36
2010,Galway City Marathon,Ireland,206,237.12
2013,Gansett Fall Marathon,US,4,220.33
2010,Gansett Marathon,US,54,203.92
2011,Gansett Marathon,US,162,209.78
2012,Gansett Marathon,US,109,207.8
2013,Gansett Marathon,US,58,205.62
2009,"Garden Spot Village
  Marathon",US,144,276.04
2010,"Garden Spot Village
  Marathon",US,232,255.87
2011,"Garden Spot Village
  Marathon",US,248,266.56
2012,"Garden Spot Village
  Marathon",US,289,259.96
2013,"Garden Spot Village
  Marathon",US,346,262.69
2003,"Gasparilla Distance
  Classic",US,1005,263.18
2004,"Gasparilla Distance
  Classic",US,1024,259.34
2005,"Gasparilla Distance
  Classic",US,1051,255.88
2006,"Gasparilla Distance
  Classic",US,1101,266.12
2007,"Gasparilla Distance
  Classic",US,908,257.69
2008,"Gasparilla Distance
  Classic",US,980,257.26
2009,"Gasparilla Distance
  Classic",US,1290,263.11
2010,"Gasparilla Distance
  Classic",US,2089,271.49
2003,"Gateway To The
  Pacific Marathon",US,17,250.27
2004,"Gateway To The
  Pacific Marathon",US,24,253.34
2005,"Gateway To The
  Pacific Marathon",US,32,276.26
2006,"Gateway To The
  Pacific Marathon",US,29,299.34
2007,"Gateway To The
  Pacific Marathon",US,19,256.21
2006,Gay Games Marathon,Australia,141,246.86
2007,Georgia Marathon,US,4344,283.14
2008,Georgia Marathon,US,2135,265.56
2009,Georgia Marathon,US,2108,265.13
2010,Georgia Marathon,US,2155,270.81
2011,Georgia Marathon,US,2235,272.13
2012,Georgia Marathon,US,1876,278.84
2013,Georgia Marathon,US,1832,277.84
2010,Geraldton Marathon,Australia,9,250.83
2011,Geraldton Marathon,Australia,31,238.48
2012,Geraldton Marathon,Australia,26,242.06
2013,"Geraldton RunFest
  Marathon",US,29,218.62
2001,"Germany to France
  Marathon",US,34,311.59
2002,"Germany to France
  Marathon",US,54,282.77
2003,"Germany to France
  Marathon",US,18,327.3
2004,"Germany to France
  Marathon",US,72,304.69
2005,"Germany to France
  Marathon",US,46,280.28
2006,"Germany to France
  Marathon",US,58,270.47
2000,Get High Skymarathon,US,20,460.81
2011,"Gettysburg
  North-South Marathon",US,708,265.46
2012,"Gettysburg
  North-South Marathon",US,455,263.37
2013,"Gettysburg
  North-South Marathon",US,625,267.52
2008,"Ghost of Seattle
  Marathon",US,51,276.72
2009,"Ghost of Seattle
  Marathon",US,60,277.32
2010,"Ghost of Seattle
  Marathon",US,85,275.43
2011,"Ghost of Seattle
  Marathon",US,100,283.56
2012,"Ghost of Seattle
  Marathon",US,149,275.35
2013,"Ghost of Tacoma City
  Marathon",US,68,293.34
2000,Glass City Marathon,US,243,244.69
2001,Glass City Marathon,US,219,253.47
2002,Glass City Marathon,US,229,245.87
2003,Glass City Marathon,US,286,241.77
2004,Glass City Marathon,US,215,245.64
2005,Glass City Marathon,US,305,244.33
2006,Glass City Marathon,US,279,250.66
2007,Glass City Marathon,US,282,255.78
2008,Glass City Marathon,US,291,250.58
2009,Glass City Marathon,US,293,269.71
2010,Glass City Marathon,US,455,251.44
2011,Glass City Marathon,US,642,248.2
2012,Glass City Marathon,US,792,249.17
2013,Glass City Marathon,US,918,247.03
2000,"Gobbler Grind
  Marathon",US,113,259.23
2002,"Gobbler Grind
  Marathon",US,68,275.18
2003,"Gobbler Grind
  Marathon",US,110,272.14
2004,"Gobbler Grind
  Marathon",US,151,271.87
2005,"Gobbler Grind
  Marathon",US,155,264.52
2006,"Gobbler Grind
  Marathon",US,185,261.08
2007,"Gobbler Grind
  Marathon",US,244,261.39
2008,"Gobbler Grind
  Marathon",US,202,258.41
2009,"Gobbler Grind
  Marathon",US,233,258.63
2010,"Gobbler Grind
  Marathon",US,242,269.53
2011,"Gobbler Grind
  Marathon",US,239,259.44
2012,"Gobbler Grind
  Marathon",US,165,273.59
2013,"Gobbler Grind
  Marathon",US,163,260.47
2001,"God's Country
  Marathon",US,125,240.56
2002,"God's Country
  Marathon",US,100,259.7
2003,"God's Country
  Marathon",US,94,245
2004,"God's Country
  Marathon",US,87,252.03
2005,"God's Country
  Marathon",US,159,261.74
2006,"God's Country
  Marathon",US,156,257.41
2007,"God's Country
  Marathon",US,147,264.62
2008,"God's Country
  Marathon",US,152,290.62
2009,"God's Country
  Marathon",US,163,259.08
2010,"God's Country
  Marathon",US,147,276.61
2011,"God's Country
  Marathon",US,133,265.87
2012,"God's Country
  Marathon",US,106,257.67
2013,"God's Country
  Marathon",US,88,271.55
2001,"Gold Coast Airport
  Marathon",Australia,50,158.13
2002,"Gold Coast Airport
  Marathon",Australia,1554,241.93
2003,"Gold Coast Airport
  Marathon",Australia,1876,249.87
2004,"Gold Coast Airport
  Marathon",Australia,1841,250.7
2005,"Gold Coast Airport
  Marathon",Australia,1586,233.29
2006,"Gold Coast Airport
  Marathon",Australia,2234,253.28
2007,"Gold Coast Airport
  Marathon",Australia,2623,252.38
2008,"Gold Coast Airport
  Marathon",Australia,3662,259.4
2009,"Gold Coast Airport
  Marathon",Australia,3708,252.05
2010,"Gold Coast Airport
  Marathon",Australia,4521,251.87
2011,"Gold Coast Airport
  Marathon",Australia,4549,251.57
2012,"Gold Coast Airport
  Marathon",Australia,5119,255.5
2013,"Gold Coast Airport
  Marathon",Australia,4827,256.16
2000,Gold Country Marathon,US,32,265.9
2001,Gold Country Marathon,US,26,271.53
2002,Gold Country Marathon,US,41,284.57
2003,Gold Country Marathon,US,45,284.81
2012,"Golden Gate Headlands
  Marathon",US,9,277.87
2013,"Golden Gate Headlands
  Marathon",US,27,275.69
2002,Golden Gate Marathon,US,46,261.16
2003,Golden Gate Marathon,US,54,281.76
2005,Golden Gate Marathon,US,45,281.25
2006,Golden Gate Marathon,US,46,283.1
2007,Golden Gate Marathon,US,37,270.48
2008,Golden Gate Marathon,US,27,274.65
2009,Golden Gate Marathon,US,21,311.1
2010,Golden Gate Marathon,US,34,273.77
2011,Golden Gate Marathon,US,39,282.44
2011,"Golden Gate Trail Run
  Marathon",US,24,322.99
2012,"Golden Gate Trail Run
  Marathon",US,58,325.21
2013,"Golden Gate Trail Run
  Marathon",US,58,315.94
2005,"Golden Hills Trail
  Marathon",US,76,316.42
2006,"Golden Hills Trail
  Marathon",US,78,335.67
2007,"Golden Hills Trail
  Marathon",US,112,347.54
2008,"Golden Hills Trail
  Marathon",US,132,329.31
2009,"Golden Hills Trail
  Marathon",US,110,333.56
2010,"Golden Hills Trail
  Marathon",US,142,344.97
2011,"Golden Hills Trail
  Marathon",US,119,340.06
2012,"Golden Hills Trail
  Marathon",US,151,345.73
2013,"Golden Hills Trail
  Marathon",US,178,349.68
2009,"Gopher Attack
  Marathon",Canada,22,248.53
2010,"Gopher Attack
  Marathon",Canada,32,244.36
2011,"Gopher Attack
  Marathon",Canada,60,238.76
2012,"Gopher Attack
  Marathon",Canada,64,252.72
2013,"Gopher Attack
  Marathon",Canada,40,256.22
2000,"Governor's Cup
  Marathon",US,300,285.88
2001,"Governor's Cup
  Marathon",US,219,274.9
2002,"Governor's Cup
  Marathon",US,222,268.84
2003,"Governor's Cup
  Marathon",US,147,248.3
2004,"Governor's Cup
  Marathon",US,47,302.25
2005,"Governor's Cup
  Marathon",US,154,274.57
2006,"Governor's Cup
  Marathon",US,149,279.77
2007,"Governor's Cup
  Marathon",US,159,286.23
2008,"Governor's Cup
  Marathon",US,135,253.58
2008,"Grainger County FOP
  Shop with a Cop Rutledge Marathon",US,52,259.89
2009,"Grainger County FOP
  Shop with a Cop Rutledge Marathon",US,24,251.75
2010,"Grainger County FOP
  Shop with a Cop Rutledge Marathon",US,36,273.81
2002,"Grand Canyon
  International Marathon",US,302,308.7
2003,"Grand Canyon
  International Marathon",US,107,325.09
2008,Grand Canyon Marathon,US,53,307.33
2010,Grand Canyon Marathon,US,94,306.55
2011,Grand Canyon Marathon,US,181,300.95
2005,"Grand Island Trail
  Marathon",US,156,264.7
2006,"Grand Island Trail
  Marathon",US,264,281.88
2007,"Grand Island Trail
  Marathon",US,295,279.12
2008,"Grand Island Trail
  Marathon",US,247,273.26
2009,"Grand Island Trail
  Marathon",US,274,271.84
2010,"Grand Island Trail
  Marathon",US,261,292.49
2011,"Grand Island Trail
  Marathon",US,292,273.7
2012,"Grand Island Trail
  Marathon",US,212,286.32
2013,"Grand Island Trail
  Marathon",US,224,288.17
2004,Grand Rapids Marathon,US,491,250.4
2005,Grand Rapids Marathon,US,617,246.55
2006,Grand Rapids Marathon,US,732,249.78
2007,Grand Rapids Marathon,US,1553,257.52
2008,Grand Rapids Marathon,US,1409,244.09
2009,Grand Rapids Marathon,US,1559,249.54
2010,Grand Rapids Marathon,US,1658,250.53
2011,Grand Rapids Marathon,US,1608,256.42
2012,Grand Rapids Marathon,US,1588,255.97
2013,Grand Rapids Marathon,US,1413,241.81
2011,Grand Ridge Marathon,US,22,368.05
2012,Grand Ridge Marathon,US,41,362.79
2013,Grand Ridge Marathon,US,36,347.54
2013,"Grand Teton Trail
  Marathon",US,36,383.46
2009,Grand Valley Marathon,US,22,264.96
2010,Grand Valley Marathon,US,72,279.18
2011,Grand Valley Marathon,US,33,285.62
2012,Grand Valley Marathon,US,42,298.52
2013,Grand Valley Marathon,US,27,273.65
2000,"Grandfather Mountain
  Marathon",US,357,271.86
2001,"Grandfather Mountain
  Marathon",US,325,265.95
2002,"Grandfather Mountain
  Marathon",US,309,267.58
2003,"Grandfather Mountain
  Marathon",US,366,257.83
2004,"Grandfather Mountain
  Marathon",US,333,256.14
